Receiver,Beat/Location,Distance (km),Distance diff. (km),Receiver efficiency (%),Confirmed Survival (%),% losses per km,Median residences (mins),Median ROM (m/s),Median travel duration (days)
Release Site,NA,0,0,NA,100,NA,NA,NA,NA
480432,NA,0.75,0.75,100,90,13.42,94.6,0.01,1.39
483488*,NA,3.45,2.71,100,69,7.75,NA,0.36,0.11
483492*,NA,11.66,8.21,100,50,2.32,NA,0.1,0.98
483460*,NA,51.16,39.49,100,14,0.91,NA,0.05,9.03
483458,NA,55.16,4,100,9,1.25,204.9,0.05,0.86
Chanonry,NA,75.21,20.05,100,8,0.05,10.98,0.16,1.44
Inner MF,NA,109.68,34.47,87.5,8,0,6.92,0.28,1.43
Spey Bay,NA,130,20.32,NA,8,0,7.1,0.31,0.69
Fraserburgh,NA,206.91,76.91,NA,1,0.09,8.33,0.25,3.58
